date,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1601510400,282,286,294,281,98999,ok,62.02356584891501,290.0017,290.0,8.001708984375,0.0
1601769600,275,282,282,270,110576,ok,56.779682929760384,289.73038,285.0,14.730377197265625,0.0
1601856000,279,273,282,273,77223,ok,58.91716881331014,289.00098,286.0,10.0009765625,0.0
1601942400,291,279,291,278,139366,ok,64.57703490146501,288.66788,283.0,0.0,2.332122802734375
1602028800,302,292,306,290,309647,ok,68.81783824423803,289.6519,281.0,0.0,12.348114013671875
1602115200,290,302,307,290,176086,ok,60.33218089279293,290.5574,283.0,0.0,-0.557403564453125
1602374400,285,286,297,284,131788,ok,57.16903814087027,290.8776,281.0,0.0,-5.877593994140625
1602460800,286,281,290,280,68080,ok,57.64729978301564,290.51837,283.0,0.0,-4.51837158203125
1602547200,283,300,300,282,48597,ok,55.6400511007811,289.7867,289.0,6.786712646484375,0.0
1602633600,281,284,286,280,56957,ok,54.283050982880646,288.64886,289.0,7.64886474609375,0.0
1602720000,283,286,287,281,34961,ok,55.4530750072177,287.32632,286.0,4.326324462890625,0.0
1602979200,281,287,287,278,34872,ok,53.96570147208564,285.911,289.0,4.9110107421875,0.0
1603065600,283,280,286,280,28738,ok,55.25809151828753,284.51755,295.0,1.517547607421875,0.0
1603152000,289,284,289,284,34110,ok,58.97880572810468,283.47333,298.0,-5.52667236328125,0.0
1603238400,289,300,300,286,28685,ok,58.97880572810468,282.87546,297.0,-6.124542236328125,0.0
1603324800,286,303,303,283,40390,ok,56.26553200774512,282.5582,299.0,-3.441802978515625,0.0
1603843200,289,284,290,284,61359,ok,58.3299894205048,282.39105,297.0,-6.60894775390625,0.0
1603929600,295,303,303,287,103037,ok,62.17562815756833,282.86377,295.0,0.0,0.0
1604188800,298,295,301,294,122821,ok,63.966270205345324,283.8041,297.0,0.0,14.195892333984375
1604275200,297,300,300,295,85931,ok,62.89738014419274,284.81042,296.0,0.0,12.1895751953125
1604361600,299,295,299,295,58745,ok,64.18635720147317,285.72534,296.0,0.0,13.274658203125
1604448000,297,305,305,295,54955,ok,61.87154247169228,286.51752,296.0,0.0,10.48248291015625
1604534400,295,295,300,295,46148,ok,59.55840599179349,286.95734,297.0,-8.04266357421875,0.0
1604793600,297,295,300,295,79280,ok,61.12364456534031,287.3387,293.0,0.0,9.661285400390625
1604880000,296,298,298,295,46149,ok,59.87580618669877,287.48932,295.0,0.0,8.51068115234375
1604966400,296,295,299,295,52170,ok,59.87580618669877,287.5056,290.0,0.0,8.494384765625
1605052800,296,296,297,295,51873,ok,59.87580618669877,287.42917,292.0,0.0,8.570831298828125
1605139200,297,296,298,295,62667,ok,60.873448183267485,287.39508,293.0,0.0,9.60491943359375
1605657600,293,297,297,292,74377,ok,54.98430861969109,287.17786,294.0,-5.8221435546875,0.0
1605744000,295,292,299,292,80663,ok,57.213197724494144,286.95856,294.0,0.0,8.04144287109375
1606003200,290,295,300,290,117887,ok,50.48345723370993,286.60925,296.0,-3.3907470703125,0.0
1606089600,292,290,295,290,68644,ok,52.87143870422829,286.04965,325.00000000000006,-5.950347900390625,0.0
1606176000,293,290,298,290,101585,ok,54.06428853367553,285.5855,357.0,-7.41448974609375,0.0
1606262400,294,293,299,293,48808,ok,55.2831585502728,285.09946,392.0,-8.900543212890625,0.0
1606348800,294,301,301,293,73971,ok,55.2831585502728,284.79382,431.0,-9.2061767578125,0.0
1606608000,296,294,299,294,111980,ok,57.87577477822408,284.81412,418.0,-11.185882568359375,0.0
1606694400,325,297,325,295,243738,ok,77.89168742582108,286.6936,459.0,-38.306396484375,0.0
1606780800,357,340,357,326,346495,ok,85.87013208307225,291.02835,504.0,-65.97164916992188,0.0
1606867200,392,374,392,374,94182,ok,90.08482388703686,296.62137,527.0,-95.37863159179688,0.0
1606953600,431,411,431,411,261776,ok,92.69836389023676,304.20023,475.0,-126.79977416992188,0.0
1607212800,418,452,474,417,650300,ok,84.6852734883408,314.03494,452.0,-103.96505737304688,0.0
1607299200,459,418,459,410,439134,ok,88.1611397322677,323.95462,450.0,0.0,135.04537963867188
1607385600,504,481,504,478,318212,ok,90.66532452885836,333.97537,448.0,0.0,170.02462768554688
1607472000,527,529,554,512,486805,ok,91.63880016937884,344.8729,441.99999999999994,0.0,182.12710571289062
1607558400,475,527,527,475,250250,ok,73.08222528989714,353.55853,420.0,0.0,121.44146728515625
1607817600,452,452,490,428,406954,ok,66.65315314682688,359.9019,379.0,0.0,92.09811401367188
1607904000,450,452,479,448,161138,ok,66.10854892467458,363.4286,397.0,0.0,86.5714111328125
1607990400,448,447,469,447,138244,ok,65.53191808249525,364.86868,436.0,0.0,83.13131713867188
1608076800,442,470,470,440,127539,ok,63.73582116769646,364.96768,434.0,0.0,77.03231811523438
1608163200,420,438,438,417,258361,ok,57.511555580176655,363.94406,425.00000000000006,-56.055938720703125,0.0
1608422400,379,420,420,378,262793,ok,48.0866880362438,361.41818,412.0,-17.581817626953125,0.0
1608508800,397,375,410,350,239971,ok,51.81972864414231,357.98242,414.0,-39.017578125,0.0
1608595200,436,401,436,401,158910,ok,58.742277276533656,354.7674,405.00000000000006,0.0,81.23260498046875
1608681600,434,457,469,420,115519,ok,58.27982694058865,352.27942,410.0,0.0,81.7205810546875
1608768000,425,445,445,421,91833,ok,56.13807564211492,349.9833,411.0,0.0,75.01669311523438
1609027200,412,420,427,410,104013,ok,53.10243242814601,347.51337,421.99999999999994,-64.48663330078125,0.0
1609113600,414,412,422,406,68528,ok,53.518861735716186,344.8888,417.0,-69.1112060546875,0.0
1609200000,405,416,416,405,61313,ok,51.31086950781802,342.1191,434.0,-62.880889892578125,0.0
1609286400,410,405,412,399,52507,ok,52.48372692869578,339.37726,432.0,-70.62274169921875,0.0
1609372800,411,411,423,407,58066,ok,52.72898471860516,336.9514,434.0,-74.04861450195312,0.0
1609632000,422,411,424,410,89186,ok,55.45280336376849,335.15698,436.0,-86.843017578125,0.0
1609718400,417,430,430,416,38104,ok,53.93159561048172,333.7331,435.0,-83.26690673828125,0.0
1609804800,434,415,455,410,131972,ok,58.13657068425808,333.32663,478.0,-100.67337036132812,0.0
1609891200,432,440,447,430,69409,ok,57.471937757054576,333.37915,495.0,-98.620849609375,0.0
1609977600,434,432,440,432,74208,ok,57.98916152737517,333.67554,493.0,-100.324462890625,0.0
1610236800,436,431,456,431,57338,ok,58.53228388510772,334.17877,486.0,-101.82122802734375,0.0
1610323200,435,457,457,432,71034,ok,58.12763932619704,334.9548,478.0,-100.04519653320312,0.0
1610409600,478,443,478,435,337243,ok,68.28172695574582,337.52682,496.0,-140.47317504882812,0.0
1610496000,495,500,524,490,366739,ok,71.2500781267309,341.9662,507.0,-153.0338134765625,0.0
1610841600,493,495,510,490,108794,ok,70.41517181077441,346.251,519.0,-146.74899291992188,0.0
1610928000,486,493,494,480,125594,ok,67.43664781502102,349.98993,510.0,-136.01007080078125,0.0
1611014400,478,462,495,462,134343,ok,64.09956800860368,352.8489,497.0,-125.15109252929688,0.0
1611100800,496,501,511,469,259491,ok,67.9433279370786,355.99072,494.0,0.0,140.00927734375
1611187200,507,520,520,494,232105,ok,70.05345300500255,359.34918,490.0,0.0,147.65081787109375
